Upstream commit,Date,Summary,Paths touched,Decision,Notes
e495cfa5767485606764e452742808eee89901d3,2023-10-30,(Testing) Separate tests into seperate repo,CMakeLists.txt Makefile.am build config/support-rose.m4,drop,Testing split; autotools/build script changes; drop.
edeaed4de01867943ea8cddd7c18d56f2aa4db35,2023-10-30,(Testing) Add yaml file for gitlab CI,.gitlab-ci.yml,drop,CI config not used in REX.
33377c77b4e92baeeda78a4a334122be1ebc4127,2023-10-30,(Testing) Update Readme,README.md,drop,EDG support mention; EDG dropped in REX.
d18e46d4239ba5c8b905ee846eb9897aa1658783,2023-10-31,(Testing) Re-add byte code directory,build config/support-rose.m4,drop,Autotools and build test scaffolding for bytecode tests
89300d0dfcbd6c3f9b143479e63aa51033ff1be1,2023-11-06,(Release) Incremented version to 0.11.145.4,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure; SCM_DATE metadata update only; ROSE_VERSION update; no functional changes for REX.
73b6890c408d03160f8f95191206cf1187db2558,2023-11-07,(AST) Renamed most snake_case names to camelCase in binary AST nodes,src/AstNodes/BinaryAnalysis src/frontend/BinaryFormats src/frontend/Disassemblers tutorial/binaryAnalysis_symbolTable.C,drop,Binary analysis AST rename dropped in REX
b39acd4746f6ef5cfe0942f6ed12a1950b7b9787,2023-11-07,(AST) Regenerated AST node types with Rosebud,src/ROSETTA/src/binaryInstruction.C src/ROSETTA/src/jovialNodes.C src/generated/BinaryAnalysis,drop,Generated binary and jovial AST code dropped
59afeb27bc89b51ceede9037035d181efd36c769,2023-11-07,(AST) Fixed deprecation warnings caused by previous commit,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis src/backend/asmUnparser src/backend/unparser/unparser.C src/frontend/BinaryFormats src/frontend/Disassemblers src/frontend/SageIII/sageInterface src/frontend/SageIII/virtualCFG tools/BinaryAnalysis tutorial/binaryAnalysis tutorial/binaryAnalysis_symbolTable.C,drop,Binary analysis deprecation fixes dropped
93125d25cd297e4b50e5df7b3a2a50b2200b9b45,2023-11-10,(Release) Incremented version to 0.11.145.5,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
f0f703bcc8666a4565482d5aa840ba6858745ba0,2023-11-11,(Rosebud) Copy input into memory instead of mapping it,src/Rosebud/Ast.C src/Rosebud/rosebud.C,drop,Rosebud change uses Sawyer and boost filesystem dropped in REX
d0415f3f5b957c85e1c1b5ce66e3993ddba36f3e,2023-11-11,(Rosebud) Fixed std::ifstream c'tor call,src/Rosebud/Ast.C,drop,Depends on dropped Rosebud boost filesystem change
020900c27d9d2a4d777ac4f6735f4570bd07cfd0,2023-11-11,(Release) Incremented version to 0.11.145.6,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
122a1a95ecd3aa6550ed19763478ad0fd9d32074,2023-11-12,(ByteCode JVM) Add LocalVariableTable and LocalVariableTypeTable code attributes,src/AstNodes/BinaryAnalysis src/ROSETTA src/Rose/BinaryAnalysis/Partitioner2 src/frontend/BinaryFormats src/generated/BinaryAnalysis,drop,Binary JVM analysis dropped
38c18321690ad484690ceeef3d06f6162a870fdc,2023-11-13,(ByteCode Cil) Implement CFG,src/AstNodes/BinaryAnalysis src/ROSETTA/src/binaryInstruction.C src/frontend/BinaryFormats/CilImpl.C,drop,Binary CIL analysis dropped
355633417ba15ffa43fe80dc2de29d2a868c5be1,2023-11-14,(Release) Incremented version to 0.11.145.7,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
0a9995113469eaabbf37792d98ed4afb4cbfcbec,2023-11-14,(Ada) use public ancestor constraints for namequal,src/ROSETTA/src/symbol.C src/backend/unparser/nameQualificationSupport.C src/frontend/Experimental_Ada_ROSE_Connection src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada frontend and unparser changes dropped
62b4e0ca0805f5621af54ebbfa69de3634acfd3f,2023-11-14,(Ada) Compute type info for deref on formal type,src/frontend/Experimental_Ada_ROSE_Connection src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada frontend and sageInterface changes dropped
8a9a444acecbb656b84af9fafcdcea6497ac2e96,2023-11-14,(Ada) Use two symbols per enumerator,src/frontend/Experimental_Ada_ROSE_Connection,drop,Ada frontend changes dropped
b7a86c5b9e730edb8399f9b69258a9c042856b59,2023-11-15,(Ada) expose implicit dereferences in IR,src/backend/unparser/AdaCodeGeneration/unparseAda_expressions.C src/frontend/Experimental_Ada_ROSE_Connection src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada frontend and unparser changes dropped
0321bfd082da1ccbd5a54f7c125e07d991696915,2023-11-18,(Release) Incremented version to 0.11.145.8,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
dcb2db29169f36ee1675e3f0060eeb8927059ea8,2023-11-27,(Ada) Turned on Include_Pragmas in ASIS APIs,src/frontend/Experimental_Ada_ROSE_Connection/parser/asis_adapter/source,drop,Ada ASIS adapter changes dropped
