Upstream commit,Upstream date,Summary,Paths touched,Decision,Apply method,REX commit,Validation,Notes
78bc788ed00b05cc2335312374dda3b142012db8,2026-01-06,(CMake) bat-linear tool is built,tools/BinaryAnalysis/CMakeLists.txt,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
2464f3c71c80aa0c2a28fe3fcb9f92e5e80afc0a,2026-01-06,(ARM) Fixed some decoding for T32 instructions,src/Rose/BinaryAnalysis/Architecture/ArmAarch32.C src/Rose/BinaryAnalysis/Disassembler/Aarch32.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
08ebaf33793b57fe5bd128ff1f7e15973ba81ef6,2026-01-06,(Binary Analysis) Architecture function to decode target addresses,src/Rose/BinaryAnalysis/Architecture/ArmAarch32.C src/Rose/BinaryAnalysis/Architecture/ArmAarch32.h src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h src/Rose/BinaryAnalysis/Partitioner2/Modules.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
871f439e41195fca1ce24c32cd7bc56db6c89e6c,2026-01-07,"(Autotools) Add support for darwin25, macOS 26",config/determine-os.m4,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
5ae91670afacf358a140b6a04ed573ea8402c009,2026-01-09,(Release) Incremented version to 0.11.145.375,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
f822b8e6ec6667f22b24fc9e59ad5c806ce7595e,2026-01-09,(CICD) Adding Ubuntu EDG Binary Release Test,.gitlab-ci.yml,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
49746485cd50e0cc8150bdac93f037eb5950f4b8,2026-01-10,(AstInterface) Revise global naming to optionally use file name.,src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h src/midend/astUtil/astSupport/StmtInfoCollect.C src/midend/astUtil/dependenceTracking/dependence_table.C src/midend/astUtil/symbolicVal/SymbolicVal.C,pick-partial,manual-port,bca7acd5172a9098688a8388f9076bfad34e1996,cmake --build build -j32,ported retained AstInterface/read-write signature fixes; omitted upstream Ada-only cast operator
ee0a09f44df4c6003076795a3260a27f54f1bbe3,2026-01-10,(Release) Incremented version to 0.11.145.376,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
a25260caacc1ee6571c0411eeec10efbec369c7d,2026-01-13,(codethorn) Improve external mangling and info,tools/CodeThorn/src/CallGraphAnalysis.C tools/CodeThorn/src/ExternalMangling.C tools/CodeThorn/src/RoseCompatibility.C tools/CodeThorn/src/RoseCompatibility.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
7c0b9c98f3a80278fb4ec725c8eef377505006f3,2026-01-13,(Binary Analysis) Make StringFinder work with JVM files,src/Rose/BinaryAnalysis/String.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
4e7ef6de33849cadf93fc09edb6df0fae62338e4,2026-01-13,(Jovial) Remove case dependence of source file suffix,src/util/commandlineProcessing/commandline_processing.C,drop,not-applied,N/A,not required,Jovial suffix handling is for a dropped REX frontend; remaining diff is comment/format churn
acbb6fc9d0b928d2ce0227bfbbfc9a59567027af,2026-01-13,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Support.code,pick,manual-conflict-resolution,dcf74e17449e9c20da04313648a442fd29dd0d61,cmake --build build -j32,ported Support.code warning cleanup; resolved assertion/logging conflicts to existing REX style
849b7973ba6bca0d87475385a485e41b8d7c81d9,2026-01-13,(Engineering) Fix compiler warnings issued by (Apple) clang,src/frontend/SageIII/astVisualization/intermediateRepresentationNodeGraphs.C src/frontend/SageIII/astVisualization/wholeAST.C,drop,not-applied,N/A,not required,only modifies astVisualization sources removed from REX
67b479544e1a7b1330126d067f1da0c358e22713,2026-01-13,(Engineering) Fix compiler warnings issued by (Apple) clang,src/midend/programAnalysis/CallGraphAnalysis/ClassHierarchyGraph.C,pick-partial,manual-port,9ba83099b399fb6584c1c9772fe8069f6a0ef249,cmake --build build -j32,kept REX dependent-base handling and already-removed dead code; ported assertion cleanup
95d95215e28b654683c45da28a63ddd9ae291e9b,2026-01-13,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Node.code,drop,not-applied,,inspected upstream diff,ROSETTA Node.code warning cleanup was comment/format churn and conflicted heavily with REX template layout; no retained semantic change ported
a9a0ffd82b7294a9937d79438b4464377f03c8f7,2026-01-13,(Release) Incremented version to 0.11.145.377,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
9c113c37b337158411673e0ab0672d94a4302fd6,2026-01-14,(Engineering) Fix compiler warnings issued by (Apple) clang,src/frontend/SageIII/sageInterface/sageBuilder.C,drop-superseded,not-applied,,cmake --build build -j32 before classification,"legacy SageBuilder warning/assertion cleanup conflicts with REX Clang-era builder changes; current REX builder already builds cleanly, no unique semantic fix ported"
2d66e7fd5c5bfcd5a56cac38acd6cb6e4e5fdac6,2026-01-15,(Release) Incremented version to 0.11.145.378,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
275265c076eaa91addf4f31271e447fee1290d13,2026-01-15,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/src/grammar.C,drop-superseded,not-applied,,inspected upstream diff; prior build clean,ROSETTA grammar.C warning cleanup conflicts with REX CMake/source-tree and dropped-component changes; no unique semantic fix beyond style/assertion cleanup ported
d95d37cebbaf153c5d63f313bfaf64ce50c3b7a0,2026-01-16,(feature) preserve constants and original exprs,src/ROSETTA/Grammar/Support.code src/ROSETTA/src/buildStorageClasses.C src/ROSETTA/src/expression.C src/ROSETTA/src/support.C src/backend/unparser/nameQualificationSupport.C src/frontend/SageIII/astPostProcessing/fixupConstantFoldedValues.C src/roseSupport/utility_functions.C src/roseSupport/utility_functions.h,pick-partial,manual-port,dee56c881a6a4756556d8eb2b61f139ca68ba79f,cmake --build build -j32; ctest --test-dir build -R 'functional_testTranslatorFoldedConstants|functional_testTranslatorUnfoldedConstants|constantFoldingTest_' --output-on-failure -j32,"ported constant-folding enum, SgExpression alternativeExpr, and preservation pass; kept REX helper paths, deleted ROSETTA infrastructure deleted, bool frontend compatibility, and memory-pool detach semantics"
