commit	date	subject	tags	groups	file_count
4a9ee7e00050a7181d99b22b256cded6b52827e5	2023-10-26	(Release) Incremented version to 0.11.145.3	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
89adda40bc7e3d11f57340ea62304242f81b64b0	2023-10-26	Merge commit 'd5fd60c17404ff0f9c2c1fd5174d2ae152747653' into HEAD			0
37832a624790f80b740dbc3c1dceaaa80449a22f	2023-10-24	(Release) Incremented version to 0.11.145.2	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
fa8d5197c73762a5f771ec839771877fa4687208	2023-10-24	(ByteCode JVM) Allow multiple class files in a binary specimen	area:src;area:tests;drop:frontend-other;inventory:autotools;src:frontend;src:rose	autotools;src/Rose;src/frontend/OTHER;tests	62
d5fd60c17404ff0f9c2c1fd5174d2ae152747653	2023-10-24	(Cleanup) Remove unused scripts.	area:scripts;drop:php;drop:platform;inventory:autotools	autotools;scripts	250
aaed6ec6877b852c0c9f3fc8bf32baaba65b641d	2023-10-24	(Cleanup) Removed unused files.		.gitlab-binary-analysis.yml;.gitlab-fullrelease.yaml;stamp-h.in;stamp-h1.in;winspecific	36
f49274752197b15a9fbfd0cd4d68a8745388557c	2023-10-24	(Cleanup) Remove old documents.	area:cmake;area:docs	build;cmake;cuda-headers.tgz;docs	274
aa57ab88fb61760cb91fd589a7617ec5e9a2202e	2023-10-23	(Release) Incremented version to 0.11.145.1	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
05d80f1977c95918ecd7ecb9de8ae51a8154d7cf	2023-10-23	Merge commit 'ba0f6fa3042054bce47afa794ba95a755d504f0f' into HEAD			0
ba0f6fa3042054bce47afa794ba95a755d504f0f	2023-10-23	(Ada) Fix multi-object decl w/ initializer rep.	area:src;drop:frontend-other;src:frontend;src:frontend:sage	src/frontend/OTHER;src/frontend/SageIII	3
e57fb090e26b2a747bab41d05a0b9a6899d88df4	2023-10-22	(ROSE) Incremented version to 0.11.145.0	area:cmake;inventory:autotools	autotools;topfiles	2
c5b9b286a57c3001f44f12279296a213941f1ac2	2023-10-20	(Release) Incremented version to 0.11.144.10	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
9dfc73ed0bc3295d09da26b33e06909a5f45a928	2023-10-20	Merge commit 'f79ac83d980f6102b86f12d2cf12f03760c48627' into HEAD			0
f79ac83d980f6102b86f12d2cf12f03760c48627	2023-10-20	(LoopProcessing) Fix Windows compilation errors due to naming conflicts in methods named GetClassName and in variables nameed interface.	area:src;src:midend	src/midend	12
1243bec075cbd36dffcc07f5e2d602ea85cf9d8c	2023-10-18	(ProgramAnalysis) Revise user interface for mod-read-call set analysis.	area:src;area:tests;src:midend	src/midend;tests	26
004aad6ae06b38e8aabb834bd949fbc47e6f6577	2023-10-17	(Release) Incremented version to 0.11.144.9	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
560dce237ec1ee975d1d7e00f68360389c606eaa	2023-10-16	(ByteCode JVM) Allow multiple class files in a binary specimen	area:src;area:tests;src:rose	src/Rose;tests	21
6abff4d6d1338d1769da18a7ed69ad4848c44086	2023-10-16	(Release) Incremented version to 0.11.144.8	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
9a9e3dc325374e744d4c45716f99073c8042538a	2023-10-16	Merge commit '04b68a507e3b05140202455cdc930014c126bd1f' into HEAD			0
d06f40609038a12d3013e6f496452777a060e969	2023-10-16	(Release) Incremented version to 0.11.144.7	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
4187176a623a5765cda5645b1b5e4a1bb166d4cf	2023-10-16	Merge commit '5cd6410ffcfb71f7a9014ba22e7b57fc9afc8f80' into HEAD			0
04b68a507e3b05140202455cdc930014c126bd1f	2023-10-16	(Rosebud) Added Rosebud::tag attribute for class definitions	area:docs;area:src	src	4
fe863768e0296f7de8c43153fc29a7f9efe91f4e	2023-10-16	(Rosebud) Improved documentation	area:docs;area:src	src	1
0cf7d16cf98e7f65787ec0e2659d033ef3c5b55c	2023-10-16	(Rosebud) Avoid marking class as boost serializable when it isn't	area:src	src	1
70dcfe4e7700c3663bbc203d1d8f95bf78f859fb	2023-10-16	(Rosebud) Added Rosebud::suppress attribute to suppress code generation	area:docs;area:src	src	4
a517dc7b26a4eacd816da19f0be98ac55d428973	2023-10-16	(Rosebud) Added Rosetta::cloneptr property attribute	area:docs;area:src	src	3
7c55fa4ce49319f435641b9b3d0bafb6812373d8	2023-10-16	(Rosebud) Fixed minor typo in Rosebud documentation	area:src	src	1
5cd6410ffcfb71f7a9014ba22e7b57fc9afc8f80	2023-10-13	(Ada) unparse requeue "with abort"	area:src;drop:frontend-other;src:backend:unparser;src:frontend	src/backend/unparser;src/frontend/OTHER	3
7b399b87ac30a5d31e4b1b091b7b92365ddbfcde	2023-10-13	(Release) Incremented version to 0.11.144.6	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
1e8022055a671f05d967b8057e291e20d1e115b2	2023-10-13	(ROSETTA) Removed empty expression code fragements	area:src;src:rosetta	src;src/ROSETTA	4
8f844871ae049f10e04cedd04c7040504d912bbe	2023-10-12	(Release) Incremented version to 0.11.144.5	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
18e14ddb4e44db2b51291a0470f4a4eec609e393	2023-10-12	(ROSETTA) Reorg expression.C in preparation for Rosebud	area:src;src:rosetta	src/ROSETTA	2
5bd43e1b51c04bac203ce34b224356f57f603324	2023-10-12	(Release) Incremented version to 0.11.144.4	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
a243f7ee3eb253bc3e3476fc628159029cea8084	2023-10-12	(Binary Analysis) New data-flow debugging tool	area:src;area:tools;src:rose	src/Rose;tools	5
73a0f7a0e738e1473748b0e01b363f2edb64c20f	2023-10-11	(Release) Incremented version to 0.11.144.3	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
9a1638516087ca0ba4468c0de2f0118863a071d2	2023-10-11	Merge commit '66d5d1c02f8d99cc683bd7a1e64148cee3692b8c' into HEAD			0
66d5d1c02f8d99cc683bd7a1e64148cee3692b8c	2023-10-11	(Ada) Consider discriminants in name qualification	area:src;drop:frontend-other;src:backend:unparser;src:frontend;src:frontend:sage	src/backend/unparser;src/frontend/OTHER;src/frontend/SageIII	8
51d2bb2dbdfcb17f26d65869714a9896f2a26ea4	2023-10-10	(Ada) exception block unparsing	area:src;src:backend:unparser;src:frontend;src:frontend:sage	src/backend/unparser;src/frontend/SageIII	3
3a21c04ab7c4c368a588138072cda02ec5d6fe44	2023-10-10	(Release) Incremented version to 0.11.144.2	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
6dda98f1e8eba842a97178b17e4144b1a76cd938	2023-10-10	(ByteCode JVM) Add a comment to getstatic and putstatic instructions	area:src;src:rose	src/Rose	2
7ba8ee1332751b9b83f5f02181e8ad762fb571e6	2023-10-09	(Release) Incremented version to 0.11.144.2	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
2c16650156fed10446d01ecfcd23037941d434c5	2023-10-09	Merge commit 'c23504e85f8648f7e9eda7947273ef2071a6ccc3' into HEAD			0
c23504e85f8648f7e9eda7947273ef2071a6ccc3	2023-10-09	(ByteCode JVM) Add a comment to getstatic and putstatic instructions	area:src;src:rose	src/Rose	2
8a3466892f065e6316881b6088b40db1bc581adb	2023-10-09	(Release) Incremented version to 0.11.144.1	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
7111d6e5829a2b48fc081aa849e4fb49227fb13b	2023-10-09	Merge commit 'bb1857fe5b3870622b19e07172d3aa361e6ae5e5' into HEAD			0
b727e6aa92b8403b0e39a197bb22c422ac78cc2e	2023-10-08	(ROSE) Incremented version to 0.11.144.0	area:cmake;inventory:autotools	autotools;topfiles	2
bb1857fe5b3870622b19e07172d3aa361e6ae5e5	2023-10-07	(Ada) revise testing	area:tests	tests	2
039fcd3839fe249bb4cab6eef7839b7381cd6a07	2023-10-07	(Ada) Fix namequalification for local overloads	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend	src/backend/unparser;src/frontend/OTHER;tests	14
bd778ac31e269e780c63bc47c92eea4a0e942cfd	2023-10-07	(Ada) Create enumerator symbols	area:src;drop:frontend-other;src:backend:unparser;src:frontend	src/backend/unparser;src/frontend/OTHER	5
77b9177453bdb466cbf0e361a657b9e6ff74f6dd	2023-10-07	(Ada) Support Aspects on all declarations	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
6efeef6e21dd45d7454007e8962917187bbcd452	2023-10-04	(Release) Incremented version to 0.11.143.1	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
f7e5b2af176b4d6a1eb5b15850591a28b1a3d95f	2023-10-04	Merge commit '3bbdbc6c6f30630b463ffd6076b91770c20dc750' into HEAD			0
3bbdbc6c6f30630b463ffd6076b91770c20dc750	2023-10-04	Merge branch 'lin32/16-clangfe-namespace' into 'lin32/16-clangfe-namespace-dev'			0
6747d989b2888144e002bb0557103abcfe4b6f5d	2023-10-02	(ClangFE) added support for static data member	area:src;src:frontend;src:frontend:clang	src/frontend/CxxFrontend/Clang	1
cfc8cca4337606f5fcef5fd5d5a21bdb5d21a371	2023-10-01	(ROSE) Incremented version to 0.11.143.0	area:cmake;inventory:autotools	autotools;topfiles	2
da14aeccf8d1630ec1d96652cf8672a7061e2a52	2023-09-28	(Release) Incremented version to 0.11.142.2	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
c59d7dcf6a17aadbd1b467da52e524a674b7c99b	2023-09-28	(Documentation) Added documentation for Sawyer::Tree	area:src;src:util	src/util	1
b6da30065ad2ad3f028ebd56a9d6c64840a4e620	2023-09-28	(Support) Functions for sorting parallel vectors	area:src	src	1
dbfb4a2d783e2a37c562d4a5092544dc3c9cae4e	2023-09-27	(Release) Incremented version to 0.11.142.1	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
773a7f75cb96cc346f87a04c555cc9a883efae62	2023-09-27	Merge commit '3bf6951d35a6b2aa25e1df948c16e0ba87caa85e' into HEAD			0
3bf6951d35a6b2aa25e1df948c16e0ba87caa85e	2023-09-25	(ByteCode JVM) Allow multiple class files in a binary specimen	area:src;src:rose	src/Rose	7
244e160da2603f5d88211e0c49647b3be2edebda	2023-09-24	(ROSE) Incremented version to 0.11.142.0	area:cmake;inventory:autotools	autotools;topfiles	2
f4663412df708f9c3373b996966f43c3abc9f8dc	2023-09-21	(Release) Incremented version to 0.11.141.6	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
fbf6fae8a0af68656c1b703946cbeea878f51706	2023-09-21	Merge commit '1b975bbd800fa3f491058552e426c2427b1a8740' into HEAD			0
1b975bbd800fa3f491058552e426c2427b1a8740	2023-09-21	(ByteCode JVM,CIL) Add class name to method name in function CFG header	area:src;src:rose	src/Rose	6
76de9b3210b39a01d908b364d84b7c9d5a1f5933	2023-09-21	(Release) Incremented version to 0.11.141.5	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
8d49ccd29cda9de398ac3007105aeacc2eba9647	2023-09-21	Merge branch 'lin32/13-cmake-for-ada-frontend' into 'lin32/13-cmake-for-ada-frontend-dev'			0
6c8964c09e55cf5764fa8cebb96953e310fc2df1	2023-09-21	(Ada, CMake) added CMake support for Ada frontend	area:src;drop:frontend-other;src:frontend	src;src/frontend/OTHER	5
2613538247c121faa6cb1673dde9fc54a0598028	2023-09-20	(Release) Incremented version to 0.11.141.4	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
001d3767f213c7b5e55b991e1dcc2ba821b5afde	2023-09-20	Merge commit 'cf8000d5b6084fefc0fccefd9dbd2465824c0e78' into HEAD			0
cf8000d5b6084fefc0fccefd9dbd2465824c0e78	2023-09-20	(ByteCode JVM) Implement JVM multianewarray instruction	area:src;area:tests;src:rose	src/Rose;tests	8
